epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.55652,1.90905,2.64121,1.49118,0.01804,0.75567,0.05488,0.02669,1.66577,3.11311,1.35678,0.00052,0.00052,0.00052
2,16.0702,1.66922,1.65036,1.27238,0.05872,0.14136,0.03263,0.01646,1.75888,3.09673,1.46482,0.00103901,0.00103901,0.00103901
3,21.5446,1.54587,1.4697,1.23394,0.64321,0.18563,0.26707,0.13772,1.75226,2.88961,1.42609,0.00153664,0.00153664,0.00153664
4,26.2161,1.52044,1.3984,1.22545,0.28573,0.28796,0.16245,0.07351,1.74044,2.66109,1.46754,0.0018812,0.0018812,0.0018812
5,30.7123,1.47568,1.34609,1.19879,0.69582,0.60209,0.61754,0.32701,1.67472,1.51653,1.36618,0.0018416,0.0018416,0.0018416
6,35.2104,1.4436,1.25068,1.188,0.72003,0.46248,0.49375,0.24812,1.74226,1.94448,1.37116,0.001802,0.001802,0.001802
7,39.5676,1.38828,1.22542,1.16978,0.77792,0.68761,0.68462,0.36262,1.64063,1.2523,1.27799,0.0017624,0.0017624,0.0017624
8,44.1248,1.36845,1.20156,1.14186,0.69088,0.63176,0.65919,0.34924,1.65533,1.3363,1.36704,0.0017228,0.0017228,0.0017228
9,48.6107,1.34118,1.13635,1.14301,0.76955,0.64104,0.67477,0.33958,1.65814,1.35104,1.29974,0.0016832,0.0016832,0.0016832
10,53.0666,1.33008,1.09423,1.11875,0.71138,0.47993,0.56587,0.30063,1.70487,1.84121,1.43181,0.0016436,0.0016436,0.0016436
11,57.5668,1.30403,1.08364,1.12535,0.72835,0.6911,0.6877,0.35566,1.65849,1.21964,1.28549,0.001604,0.001604,0.001604
