epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0212,0.81752,0.49648,0.95241,0.83342,0.67545,0.73505,0.42191,1.55651,1.07175,1.25425,0.000194444,0.000194444,0.000194444
2,40.133,0.79321,0.47966,0.94621,0.83692,0.71993,0.76095,0.41747,1.63061,0.96495,1.28018,0.000391841,0.000391841,0.000391841
3,57.6653,0.7969,0.48946,0.94337,0.85677,0.66227,0.73116,0.39504,1.65188,1.02512,1.29085,0.000586598,0.000586598,0.000586598
4,74.7096,0.81324,0.51222,0.95559,0.8353,0.70185,0.75164,0.42693,1.554,0.97615,1.25006,0.000778714,0.000778714,0.000778714
5,93.146,0.82454,0.51581,0.95444,0.82548,0.68369,0.72186,0.39684,1.63114,1.15216,1.30164,0.000968191,0.000968191,0.000968191
6,110.576,0.83993,0.54555,0.95982,0.8058,0.71334,0.75552,0.41991,1.58147,1.03645,1.27457,0.00115503,0.00115503,0.00115503
7,127.728,0.83068,0.53797,0.95907,0.81669,0.66227,0.69581,0.3881,1.58457,1.14448,1.27899,0.00133922,0.00133922,0.00133922
8,145.79,0.84596,0.55024,0.96355,0.84233,0.66889,0.72698,0.4023,1.56242,1.04235,1.31716,0.00152078,0.00152078,0.00152078
9,163.096,0.87059,0.5639,0.97551,0.79516,0.57661,0.61952,0.31417,1.73992,1.37547,1.41101,0.0016997,0.0016997,0.0016997
10,180.478,0.8921,0.59,0.98983,0.85603,0.69852,0.75327,0.42123,1.59395,1.16522,1.30136,0.00187597,0.00187597,0.00187597
11,198.318,0.85725,0.55721,0.9732,0.75247,0.65404,0.69643,0.37686,1.60484,1.09872,1.29813,0.001868,0.001868,0.001868
12,215.653,0.87123,0.56251,0.97445,0.82037,0.70346,0.73145,0.39715,1.6153,1.07156,1.31509,0.0018548,0.0018548,0.0018548
13,233.472,0.86055,0.55794,0.96444,0.81055,0.64142,0.68581,0.37374,1.59692,1.25639,1.27909,0.0018416,0.0018416,0.0018416
14,251.365,0.86768,0.55925,0.97127,0.80705,0.71666,0.73805,0.40045,1.63634,1.02337,1.30403,0.0018284,0.0018284,0.0018284
15,268.771,0.87041,0.57468,0.97657,0.82549,0.73256,0.74502,0.40768,1.5863,0.98335,1.27154,0.0018152,0.0018152,0.0018152
16,287.254,0.88068,0.57554,0.97986,0.78007,0.67198,0.72519,0.39625,1.63467,1.09911,1.30183,0.001802,0.001802,0.001802
17,305.233,0.86218,0.55755,0.97225,0.78767,0.62932,0.67719,0.36883,1.65913,1.21224,1.32082,0.0017888,0.0017888,0.0017888
18,322.795,0.8576,0.54021,0.96457,0.85757,0.68446,0.73159,0.41957,1.55332,1.09708,1.26388,0.0017756,0.0017756,0.0017756
19,341.582,0.8509,0.55363,0.97101,0.82905,0.6711,0.73327,0.39598,1.64026,1.00792,1.30181,0.0017624,0.0017624,0.0017624
20,359.15,0.86119,0.56007,0.96999,0.84122,0.70181,0.74358,0.42379,1.57367,1.02852,1.2726,0.0017492,0.0017492,0.0017492
21,376.397,0.84431,0.54147,0.96299,0.76687,0.68534,0.71934,0.40239,1.59162,1.14367,1.31675,0.001736,0.001736,0.001736
22,395.649,0.84405,0.53708,0.96156,0.78091,0.57002,0.62187,0.33754,1.69193,1.34288,1.34107,0.0017228,0.0017228,0.0017228
23,412.957,0.8646,0.55319,0.96918,0.83951,0.68369,0.73579,0.41633,1.55307,0.99607,1.27783,0.0017096,0.0017096,0.0017096
24,431.406,0.84791,0.5414,0.96468,0.80345,0.72059,0.72912,0.39879,1.60537,1.05149,1.30378,0.0016964,0.0016964,0.0016964
25,449.077,0.84211,0.53269,0.96352,0.81013,0.66886,0.71965,0.39365,1.60918,1.12233,1.29286,0.0016832,0.0016832,0.0016832
26,466.631,0.84906,0.54178,0.96209,0.80674,0.68863,0.72871,0.41232,1.55009,1.13309,1.24427,0.00167,0.00167,0.00167
27,484.975,0.84289,0.52702,0.95446,0.78648,0.7221,0.74707,0.41457,1.58321,1.02903,1.28033,0.0016568,0.0016568,0.0016568
28,502.638,0.84178,0.52478,0.95641,0.7935,0.68204,0.70316,0.3812,1.60265,1.17927,1.30593,0.0016436,0.0016436,0.0016436
29,520.313,0.8508,0.53209,0.96256,0.81501,0.68954,0.72791,0.39039,1.6012,1.07705,1.28742,0.0016304,0.0016304,0.0016304
