epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9181,1.9384,2.63885,1.48383,0.57492,0.57941,0.52946,0.26201,1.68018,1.77252,1.3175,0.00052,0.00052,0.00052
2,35.3672,1.48938,1.38401,1.23063,0.56157,0.2973,0.33644,0.15098,1.92121,2.55267,1.57136,0.00103901,0.00103901,0.00103901
3,51.9606,1.43038,1.23259,1.1969,0.47179,0.20244,0.19301,0.08163,2.10732,2.92658,1.71577,0.00153664,0.00153664,0.00153664
4,67.9394,1.37869,1.19027,1.18251,0.5756,0.5637,0.55215,0.25263,1.77605,1.52543,1.48907,0.0018812,0.0018812,0.0018812
5,84.0664,1.35675,1.14145,1.17126,0.65086,0.56719,0.58222,0.26843,1.90234,1.55189,1.56673,0.0018416,0.0018416,0.0018416
6,100.244,1.30803,1.09732,1.15577,0.56155,0.48279,0.44325,0.21539,1.8191,1.82566,1.47897,0.001802,0.001802,0.001802
7,116.992,1.27146,1.03801,1.13818,0.70103,0.55497,0.57807,0.25064,1.94356,1.36217,1.53445,0.0017624,0.0017624,0.0017624
8,133.279,1.2459,1.04803,1.12299,0.77332,0.64223,0.69656,0.36563,1.61588,1.14945,1.32493,0.0017228,0.0017228,0.0017228
9,149.504,1.21579,1.00863,1.1123,0.5356,0.53927,0.48693,0.26732,1.57008,1.74833,1.32151,0.0016832,0.0016832,0.0016832
10,165.716,1.22889,0.98209,1.09661,0.73786,0.63351,0.66072,0.348,1.64991,1.20841,1.32689,0.0016436,0.0016436,0.0016436
11,182.309,1.18537,0.95542,1.0962,0.76515,0.61409,0.653,0.33347,1.65415,1.218,1.35619,0.001604,0.001604,0.001604
12,198.384,1.17819,0.97664,1.10962,0.66334,0.46771,0.54149,0.28192,1.59138,1.68363,1.3429,0.0015644,0.0015644,0.0015644
13,214.611,1.14483,0.91948,1.08342,0.51476,0.50436,0.43937,0.23651,1.54978,1.45734,1.27898,0.0015248,0.0015248,0.0015248
14,230.814,1.13696,0.909,1.07535,0.77376,0.68641,0.71844,0.37716,1.61676,1.08969,1.29361,0.0014852,0.0014852,0.0014852
15,247.541,1.11214,0.86108,1.05289,0.75677,0.67873,0.72173,0.38632,1.60942,1.05015,1.3004,0.0014456,0.0014456,0.0014456
16,263.637,1.09771,0.88249,1.06143,0.81958,0.70681,0.74178,0.39736,1.54206,0.98138,1.25825,0.001406,0.001406,0.001406
17,280.007,1.11434,0.85233,1.05218,0.75079,0.73822,0.73101,0.38827,1.54365,1.01909,1.26735,0.0013664,0.0013664,0.0013664
18,296.373,1.09666,0.85677,1.05951,0.73925,0.60733,0.6459,0.34859,1.52814,1.1617,1.28067,0.0013268,0.0013268,0.0013268
19,312.671,1.07729,0.82519,1.03945,0.81284,0.64398,0.71772,0.3853,1.57181,1.10454,1.26349,0.0012872,0.0012872,0.0012872
20,328.64,1.07966,0.81465,1.03569,0.81718,0.67365,0.73243,0.39606,1.54455,1.08548,1.23851,0.0012476,0.0012476,0.0012476
21,344.583,1.05099,0.77938,1.02958,0.83846,0.70332,0.76838,0.41076,1.54405,0.97503,1.25471,0.001208,0.001208,0.001208
22,360.768,1.03825,0.75972,1.02537,0.76641,0.59552,0.65648,0.36545,1.52243,1.38106,1.24197,0.0011684,0.0011684,0.0011684
23,377.078,1.04771,0.75052,1.01498,0.82253,0.69563,0.72901,0.39196,1.53736,1.10101,1.24536,0.0011288,0.0011288,0.0011288
24,393.041,1.01596,0.73468,1.009,0.80684,0.65607,0.7124,0.39484,1.53046,1.25955,1.25627,0.0010892,0.0010892,0.0010892
25,409.084,0.99798,0.72108,1.00576,0.77226,0.66318,0.72047,0.39022,1.52547,1.08105,1.25704,0.0010496,0.0010496,0.0010496
26,425.365,0.9851,0.70879,1.00806,0.71169,0.53229,0.59098,0.32722,1.51796,1.43224,1.26192,0.00101,0.00101,0.00101
27,441.62,0.99974,0.7226,1.00735,0.78113,0.72949,0.75902,0.4086,1.59959,0.99527,1.29853,0.0009704,0.0009704,0.0009704
28,457.503,1.00817,0.70828,1.00656,0.84962,0.67888,0.74923,0.42127,1.45352,0.95576,1.21249,0.0009308,0.0009308,0.0009308
29,473.6,0.97932,0.69321,1.00135,0.83279,0.71553,0.73711,0.4212,1.50053,0.95711,1.23653,0.0008912,0.0008912,0.0008912
30,489.836,0.98076,0.67627,0.99901,0.80597,0.60733,0.71431,0.40201,1.47396,1.08624,1.22054,0.0008516,0.0008516,0.0008516
31,505.832,0.97541,0.67906,0.99312,0.72734,0.63525,0.68205,0.38424,1.48308,1.27624,1.23799,0.000812,0.000812,0.000812
32,521.799,0.96103,0.65445,0.98504,0.7434,0.70681,0.72844,0.40942,1.52281,1.03528,1.25139,0.0007724,0.0007724,0.0007724
33,537.622,0.96399,0.64213,0.98594,0.8431,0.7103,0.7819,0.44166,1.46698,0.98681,1.20356,0.0007328,0.0007328,0.0007328
34,554.222,0.96523,0.6581,0.9852,0.83644,0.7497,0.77312,0.44106,1.44512,0.94993,1.19975,0.0006932,0.0006932,0.0006932
35,570.782,0.91718,0.62629,0.96872,0.80047,0.74346,0.77189,0.42637,1.49916,0.97863,1.23529,0.0006536,0.0006536,0.0006536
36,586.896,0.92911,0.61615,0.97561,0.84176,0.77052,0.79491,0.45854,1.48394,1.00305,1.22214,0.000614,0.000614,0.000614
37,603.365,0.90934,0.59776,0.96816,0.78984,0.726,0.7529,0.41824,1.50568,1.11173,1.23959,0.0005744,0.0005744,0.0005744
38,620.043,0.89883,0.59577,0.96106,0.7604,0.69983,0.74452,0.42325,1.4982,1.10482,1.22401,0.0005348,0.0005348,0.0005348
